Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,target
2022-11-21 12:46:00-05:00,11555.419921875,11556.05078125,11551.0048828125,11551.1181640625,0,0.0,0.0,0
2022-11-21 12:48:00-05:00,11550.962890625,11553.8359375,11548.4580078125,11548.6962890625,2083838,0.0,0.0,0
2022-11-21 12:50:00-05:00,11548.2880859375,11548.2880859375,11539.017578125,11542.142578125,2997978,0.0,0.0,0
2022-11-21 12:52:00-05:00,11542.279296875,11542.9345703125,11538.421875,11540.8603515625,1946868,0.0,0.0,0
2022-11-21 12:54:00-05:00,11540.7939453125,11541.6650390625,11536.0556640625,11536.9326171875,2133930,0.0,0.0,0
2022-11-21 12:56:00-05:00,11536.3701171875,11536.3701171875,11528.7841796875,11528.7841796875,2379612,0.0,0.0,0
2022-11-21 12:58:00-05:00,11528.470703125,11528.8828125,11524.6318359375,11528.6416015625,2997485,0.0,0.0,1
2022-11-21 13:00:00-05:00,11528.541015625,11535.3291015625,11528.380859375,11532.568359375,2664100,0.0,0.0,1
2022-11-21 13:02:00-05:00,11533.8701171875,11535.0537109375,11530.1259765625,11533.8857421875,2242319,0.0,0.0,1
2022-11-21 13:04:00-05:00,11533.802734375,11539.361328125,11532.5712890625,11539.208984375,2504238,0.0,0.0,1
2022-11-21 13:06:00-05:00,11539.666015625,11546.83984375,11539.556640625,11546.1513671875,2663483,0.0,0.0,1
2022-11-21 13:08:00-05:00,11546.15234375,11548.3642578125,11544.8232421875,11546.26953125,2513752,0.0,0.0,1
2022-11-21 13:10:00-05:00,11548.017578125,11556.703125,11548.017578125,11556.703125,2784936,0.0,0.0,1
2022-11-21 13:12:00-05:00,11556.515625,11572.228515625,11555.2255859375,11572.0185546875,3810017,0.0,0.0,1
2022-11-21 13:14:00-05:00,11570.74609375,11576.412109375,11567.8427734375,11568.3388671875,3655128,0.0,0.0,0
2022-11-21 13:16:00-05:00,11568.89453125,11574.38671875,11566.4453125,11571.0185546875,1995406,0.0,0.0,1
2022-11-21 13:18:00-05:00,11571.224609375,11572.966796875,11569.208984375,11570.5244140625,2168824,0.0,0.0,0
2022-11-21 13:20:00-05:00,11570.1552734375,11575.1474609375,11570.1552734375,11574.7841796875,2557564,0.0,0.0,1
2022-11-21 13:22:00-05:00,11574.998046875,11575.02734375,11569.0224609375,11570.8310546875,2121686,0.0,0.0,0
2022-11-21 13:24:00-05:00,11570.7080078125,11575.3271484375,11569.3447265625,11572.6533203125,3047311,0.0,0.0,1
2022-11-21 13:26:00-05:00,11572.490234375,11575.2509765625,11568.736328125,11574.703125,2098960,0.0,0.0,1
2022-11-21 13:28:00-05:00,11574.236328125,11580.228515625,11574.236328125,11575.4736328125,2762781,0.0,0.0,1
2022-11-21 13:30:00-05:00,11575.4794921875,11579.84765625,11575.17578125,11575.2734375,2349535,0.0,0.0,0
2022-11-21 13:32:00-05:00,11575.80859375,11578.1962890625,11570.5068359375,11572.470703125,2277662,0.0,0.0,0
2022-11-21 13:34:00-05:00,11572.369140625,11579.0263671875,11572.1171875,11576.8427734375,2332518,0.0,0.0,1
2022-11-21 13:36:00-05:00,11576.6005859375,11591.681640625,11576.3798828125,11591.02734375,3025935,0.0,0.0,1
2022-11-21 13:38:00-05:00,11590.8212890625,11600.47265625,11590.0224609375,11599.833984375,3428899,0.0,0.0,1
2022-11-21 13:40:00-05:00,11600.00390625,11600.00390625,11589.599609375,11591.765625,2618834,0.0,0.0,0
2022-11-21 13:42:00-05:00,11592.412109375,11596.4638671875,11590.7421875,11596.4638671875,2830708,0.0,0.0,1
2022-11-21 13:44:00-05:00,11595.5419921875,11597.3447265625,11593.484375,11593.484375,2504876,0.0,0.0,0
2022-11-21 13:46:00-05:00,11589.36328125,11589.36328125,11584.515625,11585.0546875,3338900,0.0,0.0,0
2022-11-21 13:48:00-05:00,11586.181640625,11586.7138671875,11584.0224609375,11585.1171875,1279937,0.0,0.0,0
2022-11-21 13:50:00-05:00,11584.7822265625,11588.7177734375,11584.212890625,11585.537109375,1993263,0.0,0.0,1
2022-11-21 13:52:00-05:00,11585.4736328125,11587.7041015625,11583.5654296875,11583.5654296875,1724162,0.0,0.0,0
2022-11-21 13:54:00-05:00,11582.5703125,11582.58984375,11581.14453125,11581.384765625,2092683,0.0,0.0,0
2022-11-21 13:56:00-05:00,11580.6826171875,11580.6826171875,11574.5283203125,11574.5283203125,1981381,0.0,0.0,0
2022-11-21 13:58:00-05:00,11575.248046875,11577.3994140625,11572.908203125,11572.908203125,1976380,0.0,0.0,0
2022-11-21 14:00:00-05:00,11571.70703125,11576.48046875,11571.70703125,11574.7197265625,2845870,0.0,0.0,1
2022-11-21 14:02:00-05:00,11574.9091796875,11581.3232421875,11574.4443359375,11581.0615234375,2020810,0.0,0.0,1
2022-11-21 14:04:00-05:00,11580.8046875,11585.646484375,11578.884765625,11585.646484375,2707896,0.0,0.0,1
2022-11-21 14:06:00-05:00,11584.201171875,11587.9765625,11583.1298828125,11583.412109375,1995561,0.0,0.0,0
2022-11-21 14:08:00-05:00,11583.29296875,11583.8837890625,11580.6953125,11580.6953125,1729387,0.0,0.0,0
2022-11-21 14:10:00-05:00,11580.998046875,11581.087890625,11570.4375,11571.357421875,2601725,0.0,0.0,0
2022-11-21 14:12:00-05:00,11571.0078125,11574.3291015625,11569.5029296875,11574.3291015625,1949047,0.0,0.0,1
2022-11-21 14:14:00-05:00,11574.2119140625,11579.4619140625,11573.8896484375,11579.2001953125,2154681,0.0,0.0,1
2022-11-21 14:16:00-05:00,11579.3076171875,11582.98828125,11577.740234375,11582.98828125,2386226,0.0,0.0,1
2022-11-21 14:18:00-05:00,11582.5556640625,11582.5556640625,11579.53125,11579.8173828125,1649120,0.0,0.0,0
2022-11-21 14:20:00-05:00,11580.0791015625,11580.0791015625,11570.0771484375,11570.0771484375,2659595,0.0,0.0,0
2022-11-21 14:22:00-05:00,11568.197265625,11568.197265625,11555.2314453125,11557.33203125,2743355,0.0,0.0,0
2022-11-21 14:24:00-05:00,11557.2734375,11562.259765625,11555.94140625,11561.5419921875,2095469,0.0,0.0,1
2022-11-21 14:26:00-05:00,11561.9404296875,11562.048828125,11559.544921875,11561.623046875,2134184,0.0,0.0,0
2022-11-21 14:28:00-05:00,11562.6513671875,11564.630859375,11560.53125,11560.53125,2437520,0.0,0.0,0
2022-11-21 14:30:00-05:00,11559.8779296875,11566.97265625,11558.587890625,11565.59375,2364800,0.0,0.0,1
2022-11-21 14:32:00-05:00,11566.1171875,11566.4736328125,11560.919921875,11561.1630859375,2262584,0.0,0.0,0
2022-11-21 14:34:00-05:00,11561.0732421875,11561.73828125,11554.0283203125,11554.0283203125,2693835,0.0,0.0,0
2022-11-21 14:36:00-05:00,11554.712890625,11556.33203125,11551.9453125,11552.140625,2337435,0.0,0.0,0
2022-11-21 14:38:00-05:00,11551.654296875,11559.041015625,11551.15625,11558.7783203125,2225398,0.0,0.0,1
2022-11-21 14:40:00-05:00,11558.1904296875,11560.560546875,11555.5234375,11558.04296875,2393632,0.0,0.0,0
2022-11-21 14:42:00-05:00,11558.396484375,11558.552734375,11555.5927734375,11557.505859375,1883402,0.0,0.0,0
2022-11-21 14:44:00-05:00,11557.7578125,11557.7578125,11552.67578125,11553.71875,1495496,0.0,0.0,0
2022-11-21 14:46:00-05:00,11553.2314453125,11559.1240234375,11552.1484375,11559.1240234375,1880597,0.0,0.0,1
2022-11-21 14:48:00-05:00,11559.97265625,11561.525390625,11558.6396484375,11561.2451171875,2449131,0.0,0.0,1
2022-11-21 14:50:00-05:00,11560.68359375,11564.0,11559.833984375,11560.623046875,2495279,0.0,0.0,0
2022-11-21 14:52:00-05:00,11560.671875,11568.9404296875,11560.5615234375,11568.8056640625,2403707,0.0,0.0,1
2022-11-21 14:54:00-05:00,11569.62109375,11572.322265625,11567.3505859375,11568.8046875,2643362,0.0,0.0,0
2022-11-21 14:56:00-05:00,11569.3193359375,11569.4345703125,11562.3740234375,11566.0732421875,2428062,0.0,0.0,0
2022-11-21 14:58:00-05:00,11565.9892578125,11565.9892578125,11561.3193359375,11561.7197265625,1899600,0.0,0.0,0
2022-11-21 15:00:00-05:00,11560.9326171875,11566.19921875,11559.65625,11561.8916015625,2389173,0.0,0.0,1
2022-11-21 15:02:00-05:00,11562.8056640625,11576.1015625,11562.8056640625,11573.859375,3534862,0.0,0.0,1
2022-11-21 15:04:00-05:00,11573.4716796875,11575.05078125,11571.5185546875,11571.5185546875,2503908,0.0,0.0,0
2022-11-21 15:06:00-05:00,11571.1181640625,11571.1181640625,11563.107421875,11564.9345703125,3019675,0.0,0.0,0
2022-11-21 15:08:00-05:00,11565.767578125,11573.2197265625,11565.025390625,11568.71875,2718526,0.0,0.0,1
2022-11-21 15:10:00-05:00,11568.7470703125,11568.7470703125,11560.623046875,11560.623046875,2476222,0.0,0.0,0
2022-11-21 15:12:00-05:00,11560.5498046875,11564.8408203125,11559.546875,11564.8408203125,2387480,0.0,0.0,1
2022-11-21 15:14:00-05:00,11565.08984375,11573.5234375,11565.08984375,11571.9326171875,2855773,0.0,0.0,1
2022-11-21 15:16:00-05:00,11571.8779296875,11576.462890625,11571.8779296875,11576.462890625,2939790,0.0,0.0,1
2022-11-21 15:18:00-05:00,11577.03125,11578.8857421875,11574.25,11577.9150390625,3253694,0.0,0.0,1
2022-11-21 15:20:00-05:00,11577.5380859375,11580.326171875,11572.009765625,11572.009765625,3195626,0.0,0.0,0
2022-11-21 15:22:00-05:00,11571.9501953125,11572.7587890625,11564.203125,11564.203125,3481894,0.0,0.0,0
2022-11-21 15:24:00-05:00,11563.697265625,11563.697265625,11556.7216796875,11559.3515625,3331091,0.0,0.0,0
2022-11-21 15:26:00-05:00,11558.3935546875,11558.3935546875,11549.9990234375,11553.73046875,3399938,0.0,0.0,0
2022-11-21 15:28:00-05:00,11553.2392578125,11554.603515625,11550.4638671875,11554.48828125,2928633,0.0,0.0,1
2022-11-21 15:30:00-05:00,11554.2353515625,11565.39453125,11552.986328125,11565.060546875,4700870,0.0,0.0,1
2022-11-21 15:32:00-05:00,11565.306640625,11568.201171875,11563.6796875,11564.048828125,3780778,0.0,0.0,0
2022-11-21 15:34:00-05:00,11564.0537109375,11564.0537109375,11555.654296875,11562.263671875,3696426,0.0,0.0,0
2022-11-21 15:36:00-05:00,11562.0712890625,11563.4931640625,11559.345703125,11559.345703125,3822601,0.0,0.0,0
